id,username,created_at,lng,lat,text
1517607406380986368,Antlers_Basebll,Fri Apr 22 20:52:56 +0000 2022,-96.053431,41.275721000000004,"Final from Thursday:Elkhorn - 9Mount Michael - 5WP: @Ayala09Ben - 6 IP, 7H, 2 ER, 8 K’s@CooperFedde - 2H, R,… https://t.co/jWyxm9uFNX"
1517607407807041537,FatDaddyCo,Fri Apr 22 20:52:56 +0000 2022,-86.1429225,39.7795625,"Hell nah. We may have disagreements, and keep it pushing"
1517607409396502528,rayrynofan,Fri Apr 22 20:52:56 +0000 2022,-106.7374385,32.342299499999996,"@GeoffGrammer ""MMMMM...McBeer."" - Homer Simpson voice https://t.co/WlLac8Apnr"
1517607410701012993,roxiecerr,Fri Apr 22 20:52:57 +0000 2022,-117.990805,33.9247355,Honestly cutting out alcohol has really made me feel better!! Here and there I’ll have a beer but nothing like befo… https://t.co/NTAaK4cNxT
1517607411661504512,troypac,Fri Apr 22 20:52:57 +0000 2022,-104.787092,41.1352835,@PJC49ers Thank you Paul!! I appreciate that.
1517607412370329601,timodock,Fri Apr 22 20:52:57 +0000 2022,-85.12604,35.05856,So happy for these two and all they have already accomplished since coming to Variant and USX. It has been a blast… https://t.co/RF5YNhqPfi
1517607413959979008,tmj_NJ_it,Fri Apr 22 20:52:57 +0000 2022,-74.129032,41.0414857,"Cognizant is hiring in #Allendale, NJ! Read about our latest #IT job opening via the link in our bio: ServiceNow CMDB Specialist"
1517607414912065537,anthonyramey5,Fri Apr 22 20:52:58 +0000 2022,-118.4119065,34.0207895,MTG IS FINDING OUT THAT AD-LIBBING AND BEING QUESTIONED UNDER OATH ARE TWO VERY DIFFERENT THINGS https://t.co/10gkTZXz48
1517607416170381313,that1artist,Fri Apr 22 20:52:58 +0000 2022,-117.1195165,33.501021,@noowaayyjose No thanks.
1517607416455516160,mazevedo05,Fri Apr 22 20:52:58 +0000 2022,-121.75627850000001,38.675018,"@_BlakeDerrick @BatsonBBall @InsiderExposure @Elite80WBB @coachkent02 Maggie Azevedo, Pioneer HS, Woodland, CA. PH:… https://t.co/2A9ivKiTpr"
1517607416791289856,KellyStrayer1,Fri Apr 22 20:52:58 +0000 2022,-76.964703,35.0718745,"I'm a 56 yr old, post-menopausal woman.Do I still have rights over my own body?"
1517607416585719808,tmj_hsv_pharm,Fri Apr 22 20:52:58 +0000 2022,-86.5705508,35.1520266,"If jobs with titles like ""Biomedical Technician I"" sound appealing to you, follow us to hear about these types of o… https://t.co/oli0nZSJbf"
1517607417529257984,tmj_phl_constru,Fri Apr 22 20:52:58 +0000 2022,-75.1652215,39.9525839,"Don't submit then quit. Apply for jobs like ""Resilience/Climate Adaptation Planner (Philly)"" at Tetra Tech, then lo… https://t.co/kLt54gHpGV"
1517607417889972225,tmj_aus_edu,Fri Apr 22 20:52:58 +0000 2022,-97.8835763,30.5983229,"Can you recommend anyone for this job? 2022/23 High School Counselor - https://t.co/EB2OWgzb7s #k12 #Leander, TX"
1517607418146050050,tmj_NVT_secure,Fri Apr 22 20:52:58 +0000 2022,-119.8138027,39.5296329,"Our relationships are at the heart of everything we do, each and every day. Allied Universal is looking to hire tea… https://t.co/DAm7bHIIO4"
